ausencia,reducido,proporcion,tecnica,similitud,exactitud,sensibilidad,precision,f1 score,tiempo
MCAR V6,False,0.05,Eliminacion.Listwise,0.95,0.9232309746328438,0.9117501239464552,0.9167497507477568,0.9142431021625652,0.003435999999055639
MCAR V6,False,0.05,Eliminacion.Pairwise,0.0,0.9287939474855362,0.9241447694595935,0.9177744953225012,0.9209486166007904,0.0024842999991960824
MCAR V6,False,0.05,Imputacion.ConstanteValor0,0.9054432708382385,0.9327992879394749,0.9201784828953892,0.929394091136705,0.9247633283507724,0.0027652999851852655
MCAR V6,False,0.05,Imputacion.ConstanteCentralMedia,0.999357874443397,0.9283489096573209,0.9236489836390679,0.9172821270310192,0.9204545454545454,0.002657300006831065
MCAR V6,False,0.05,Imputacion.ConstanteCentralMediana,0.9995802546519811,0.9312416555407209,0.9132374814080317,0.9321862348178138,0.9226145755071374,0.003559100005077198
MCAR V6,False,0.05,Imputacion.ConstanteCentralModa,0.9995838126560669,0.9292389853137517,0.9147248388696083,0.9266700150678051,0.9206586826347305,12.114900999993552
MCAR V6,False,0.05,Imputacion.InterpolacionConstantePartes,0.9999007727329008,0.9370271473075211,0.9266236985622212,0.9326347305389222,0.9296194976374037,0.038455899979453534
MCAR V6,False,0.05,Imputacion.InterpolacionLineal,0.99979388944852,0.9301290609701824,0.9206742687159147,0.9234211834908006,0.9220456802383317,0.028318999975454062
MCAR V6,False,0.05,Imputacion.InterpolacionPolinomios,0.9997236427059342,0.931909212283044,0.9216658403569657,0.9262580966616841,0.9239562624254472,1.3351868000172544
MCAR V6,False,0.05,Imputacion.InterpolacionSpline,0.9996313463318071,0.9330218068535826,0.9176995537927616,0.93202416918429,0.9248063952035973,0.09179289999883622
MCAR V6,False,0.05,Analisis.GenerativoMaximizacionEsperanza,0.9443328183620119,0.9310191366266133,0.9162121963311849,0.9291101055806938,0.9226160758861707,0.9724252999876626
MCAR V6,False,0.1,Eliminacion.Listwise,0.9,0.9292389853137517,0.9137332672285573,0.9275289380976346,0.9205794205794205,0.004146899998886511
MCAR V6,False,0.1,Eliminacion.Pairwise,0.0,0.931909212283044,0.9167079821517105,0.9305485656768998,0.9235764235764236,0.0031066999945323914
MCAR V6,False,0.1,Imputacion.ConstanteValor0,0.8656640103176582,0.9301290609701824,0.9157164105106594,0.9276745354093421,0.9216566866267465,0.002296799997566268
MCAR V6,False,0.1,Imputacion.ConstanteCentralMedia,0.9990991693321416,0.9312416555407209,0.9221616261774913,0.9244532803180915,0.9233060312732688,0.003183699998771772
MCAR V6,False,0.1,Imputacion.ConstanteCentralMediana,0.9994573106715265,0.9279038718291055,0.9038175508180466,0.9334357398873528,0.9183879093198993,0.0025585000112187117
MCAR V6,False,0.1,Imputacion.ConstanteCentralModa,0.9994620345139879,0.9356920338228749,0.9221616261774913,0.9337349397590361,0.9279121975555,10.894628599984571
MCAR V6,False,0.1,Imputacion.InterpolacionConstantePartes,0.9998456212194393,0.9281263907432131,0.9112543381259296,0.9273461150353178,0.919229807451863,0.04918349999934435
MCAR V6,False,0.1,Imputacion.InterpolacionLineal,0.9997209460783282,0.9270137961726747,0.9132374814080317,0.9233082706766917,0.9182452642073778,0.012598800007253885
MCAR V6,False,0.1,Imputacion.InterpolacionPolinomios,0.9996703464197922,0.92456608811749,0.9167079821517105,0.9153465346534654,0.9160267525390141,1.2578519000089727
MCAR V6,False,0.1,Imputacion.InterpolacionSpline,0.99949441447654,0.9236760124610592,0.9127416955875062,0.9168326693227091,0.9147826086956521,0.08435660001123324
MCAR V6,False,0.1,Analisis.GenerativoMaximizacionEsperanza,0.9158513002336277,0.9339118825100133,0.917203767972236,0.9343434343434344,0.9256942707030272,2.1366290999867488
MCAR V6,False,0.15,Eliminacion.Listwise,0.85,0.9207832665776591,0.8943976202280615,0.9265536723163842,0.9101917255297679,0.002984699996886775
MCAR V6,False,0.15,Eliminacion.Pairwise,0.0,0.9312416555407209,0.9117501239464552,0.933502538071066,0.9224981188863807,0.002242699993075803
